1663890344.551422 mptcp SYN-SENT 0      1      192.168.20.2%enp6s0f0:37039 192.168.3.1:5101 users:(("iperf3",pid=14356,fd=6)) timer:(on,728ms,0) uid:20001 ino:6576999 sk:39c1 1663890344.551436 	 subflows:2 write_seq:580000020c snd_una:1                                                                                                                                                                                                                                                                                                                                                                                     
1663890344.695422 tcp   SYN-SENT 0      1      192.168.20.2%enp6s0f0:59317 192.168.4.1:5101 users:(("iperf3",pid=14356,fd=6)) timer:(on,592ms,0) uid:20001 ino:6576999 sk:39bf 1663890344.695488 	 olia rto:1000 mss:524 pmtu:1500 rcvmss:88 advmss:1460 cwnd:10 segs_out:1 lastsnd:61046508 lastrcv:61046508 lastack:61046508 unacked:1 rcv_ssthresh:64240                                                                                                                                                                                                                                                                  
1663890344.695507 tcp   SYN-SENT 0      1      192.168.10.2%enp6s0f1:41995 192.168.4.1:5101 users:(("iperf3",pid=14356,fd=4)) timer:(on,716ms,0) uid:20001 ino:6576998 sk:39c2 1663890344.695519 	 olia rto:1000 mss:524 pmtu:1500 rcvmss:88 advmss:1460 cwnd:10 segs_out:1 lastsnd:61046508 lastrcv:61046508 lastack:61046508 unacked:1 rcv_ssthresh:64240                                                                                                                                                                                                                                                                  
1663890344.695531 tcp   ESTAB    0      8568            192.168.10.2:47346 192.168.3.1:5101 users:(("iperf3",pid=14356,fd=6)) timer:(on,092ms,0) uid:20001 ino:6576999 sk:39bd 1663890344.695541 	 ts sack olia wscale:7,7 rto:264 rtt:60.543/0.657 mss:1428 pmtu:1500 rcvmss:536 advmss:1428 cwnd:6 ssthresh:5 bytes_sent:42877 bytes_retrans:4284 bytes_acked:30026 segs_out:34 segs_in:18 data_segs_out:31 send 1132154bps lastsnd:40 lastrcv:468 lastack:40 pacing_rate 1358560bps delivery_rate 942272bps delivered:23 busy:404ms unacked:6 retrans:0/3 rcv_space:14280 rcv_ssthresh:64108 minrtt:60                    
1663890344.695552 tcp   SYN-SENT 0      1      192.168.20.2%enp6s0f0:45637 192.168.4.1:5101 users:(("iperf3",pid=14356,fd=4)) timer:(on,716ms,0) uid:20001 ino:6576998 sk:39c3 1663890344.695570 	 olia rto:1000 mss:524 pmtu:1500 rcvmss:88 advmss:1460 cwnd:10 segs_out:1 lastsnd:61046508 lastrcv:61046508 lastack:61046508 unacked:1 rcv_ssthresh:64240                                                                                                                                                                                                                                                                  
1663890344.695582 tcp   SYN-SENT 0      1      192.168.10.2%enp6s0f1:45563 192.168.4.1:5101 users:(("iperf3",pid=14356,fd=6)) timer:(on,592ms,0) uid:20001 ino:6576999 sk:39c0 1663890344.695593 	 olia rto:1000 mss:524 pmtu:1500 rcvmss:88 advmss:1460 cwnd:10 segs_out:1 lastsnd:61046508 lastrcv:61046508 lastack:61046508 unacked:1 rcv_ssthresh:64240                                                                                                                                                                                                                                                                  
1663890344.695607 tcp   ESTAB    0      18432           192.168.10.2:47344 192.168.3.1:5101 users:(("iperf3",pid=14356,fd=4)) timer:(on,300ms,0) uid:20001 ino:6576998 sk:39be 1663890344.695618 	 ts sack olia wscale:7,7 rto:312 rtt:61.517/1.743 mss:1428 pmtu:1500 rcvmss:536 advmss:1428 cwnd:10 ssthresh:6 bytes_sent:115573 bytes_retrans:8568 bytes_acked:88574 segs_out:85 segs_in:30 data_segs_out:82 send 1857048bps lastsnd:12 lastrcv:532 lastack:40 pacing_rate 2896960bps delivery_rate 1821568bps delivered:66 busy:532ms unacked:13 retrans:1/6 lost:2 sacked:2 rcv_space:14280 rcv_ssthresh:64108 minrtt:60
1663890344.695630 tcp   SYN-SENT 0      1      192.168.20.2%enp6s0f0:59695 192.168.3.1:5101 users:(("iperf3",pid=14356,fd=4)) timer:(on,716ms,0) uid:20001 ino:6576998 sk:39c4 1663890344.695643 	 olia rto:1000 mss:524 pmtu:1500 rcvmss:88 advmss:1460 cwnd:10 segs_out:1 lastsnd:61046508 lastrcv:61046508 lastack:61046508 unacked:1 rcv_ssthresh:64240                                                                                                                                                                                                                                                                  
1663890344.695679 tcp   SYN-SENT 0      1      192.168.20.2%enp6s0f0:37039 192.168.3.1:5101 users:(("iperf3",pid=14356,fd=6)) timer:(on,588ms,0) uid:20001 ino:6576999 sk:39c1 1663890344.695690 	 olia rto:1000 mss:524 pmtu:1500 rcvmss:88 advmss:1460 cwnd:10 segs_out:1 lastsnd:61046512 lastrcv:61046512 lastack:61046512 unacked:1 rcv_ssthresh:64240                                                                                                                                                                                                                                                                  
1663890344.695732 mptcp SYN-SENT 0      1      192.168.20.2%enp6s0f0:59317 192.168.4.1:5101 users:(("iperf3",pid=14356,fd=6)) timer:(on,588ms,0) uid:20001 ino:6576999 sk:39bf 1663890344.695745 	 subflows:2 write_seq:580000020c snd_una:1                                                                                                                                                                                                                                                                                                                                                                                 
