1663209624.605753 tcp   SYN-SENT 0      1       192.168.20.2%enp6s0f1:52387 192.168.3.1:5101 users:(("iperf3",pid=12869,fd=4)) timer:(on,608ms,0) uid:20001 ino:1020569 sk:1f7f 1663209624.605765 	 reno rto:1000 mss:524 pmtu:1500 rcvmss:88 advmss:1460 cwnd:10 segs_out:1 lastsnd:14216616 lastrcv:14216616 lastack:14216616 unacked:1 rcv_ssthresh:64240                                                                                                                                                                                                                                                                                                                              
1663209624.605798 tcp   ESTAB    0      1273776          192.168.10.2:34236 192.168.3.1:5101 users:(("iperf3",pid=12869,fd=4)) timer:(on,272ms,0) uid:20001 ino:1020569 sk:1f80 1663209624.605816 	 ts sack reno wscale:7,7 rto:276 rtt:75.191/2.096 mss:1428 pmtu:1500 rcvmss:536 advmss:1428 cwnd:662 ssthresh:446 bytes_sent:2670397 bytes_retrans:111384 bytes_acked:1285238 segs_out:1880 segs_in:228 data_segs_out:1877 send 100579697bps lastsnd:4 lastrcv:424 lastack:4 pacing_rate 162627808bps delivery_rate 66137440bps delivered:1063 busy:356ms unacked:892 retrans:78/78 lost:153 sacked:155 rcv_space:14280 rcv_ssthresh:64108 minrtt:30.19                                
1663209624.605828 tcp   SYN-SENT 0      1       192.168.10.2%enp6s0f0:37833 192.168.4.1:5101 users:(("iperf3",pid=12869,fd=4)) timer:(on,608ms,0) uid:20001 ino:1020569 sk:1f81 1663209624.605839 	 reno rto:1000 mss:524 pmtu:1500 rcvmss:88 advmss:1460 cwnd:10 segs_out:1 lastsnd:14216616 lastrcv:14216616 lastack:14216616 unacked:1 rcv_ssthresh:64240                                                                                                                                                                                                                                                                                                                              
1663209624.605850 tcp   ESTAB    0      679728  192.168.20.2%enp6s0f1:45977 192.168.4.1:5101 users:(("iperf3",pid=12869,fd=6)) timer:(on,264ms,0) uid:20001 ino:1020570 sk:1f82 1663209624.605861 	 ts sack reno wscale:7,7 rto:276 rtt:74.791/3.165 mss:1428 pmtu:1500 rcvmss:536 advmss:1428 cwnd:328 ssthresh:238 bytes_sent:1492372 bytes_retrans:68544 bytes_acked:761237 segs_out:1050 segs_in:160 data_segs_out:1048 send 50100574bps lastsnd:12 lastrcv:328 lastack:12 pacing_rate 85047776bps delivery_rate 35456704bps delivered:632 busy:300ms unacked:464 retrans:48/48 lost:89 sacked:95 rcv_space:14280 rcv_ssthresh:64108 notsent:17136 minrtt:30.125                      
1663209624.605893 tcp   ESTAB    0      545496           192.168.10.2:34238 192.168.3.1:5101 users:(("iperf3",pid=12869,fd=6)) timer:(on,272ms,0) uid:20001 ino:1020570 sk:1f83 1663209624.605904 	 ts sack reno wscale:7,7 rto:276 rtt:75.751/5.462 mss:1428 pmtu:1500 rcvmss:536 advmss:1428 cwnd:237 ssthresh:191 bytes_sent:1193733 bytes_retrans:69972 bytes_acked:583978 segs_out:847 segs_in:137 data_segs_out:844 send 35741944bps lastsnd:4 lastrcv:392 lastack:4 pacing_rate 68406800bps delivery_rate 28052024bps delivered:515 busy:356ms sndbuf_limited:60ms(16.9%) unacked:378 retrans:49/49 lost:93 sacked:97 rcv_space:14280 rcv_ssthresh:64108 notsent:5712 minrtt:30.205
1663209624.605914 tcp   SYN-SENT 0      1       192.168.10.2%enp6s0f0:50265 192.168.4.1:5101 users:(("iperf3",pid=12869,fd=6)) timer:(on,636ms,0) uid:20001 ino:1020570 sk:1f84 1663209624.605929 	 reno rto:1000 mss:524 pmtu:1500 rcvmss:88 advmss:1460 cwnd:10 segs_out:1 lastsnd:14216620 lastrcv:14216620 lastack:14216620 unacked:1 rcv_ssthresh:64240                                                                                                                                                                                                                                                                                                                              
1663209624.605940 tcp   ESTAB    0      1119552 192.168.20.2%enp6s0f1:38053 192.168.4.1:5101 users:(("iperf3",pid=12869,fd=4)) timer:(on,276ms,0) uid:20001 ino:1020569 sk:1f85 1663209624.605951 	 ts sack reno wscale:7,7 rto:276 rtt:74.564/2.187 mss:1428 pmtu:1500 rcvmss:536 advmss:1428 cwnd:578 ssthresh:392 bytes_sent:2356200 bytes_retrans:91392 bytes_acked:1145257 segs_out:1655 segs_in:226 data_segs_out:1653 send 88555764bps lastrcv:364 pacing_rate 144139864bps delivery_rate 57553528bps delivered:933 busy:328ms unacked:784 retrans:64/64 lost:143 sacked:127 rcv_space:14280 rcv_ssthresh:64108 minrtt:30.281                                                      
1663209624.605990 tcp   SYN-SENT 0      1       192.168.20.2%enp6s0f1:56959 192.168.3.1:5101 users:(("iperf3",pid=12869,fd=6)) timer:(on,636ms,0) uid:20001 ino:1020570 sk:1f86 1663209624.606004 	 reno rto:1000 mss:524 pmtu:1500 rcvmss:88 advmss:1460 cwnd:10 segs_out:1 lastsnd:14216620 lastrcv:14216620 lastack:14216620 unacked:1 rcv_ssthresh:64240                                                                                                                                                                                                                                                                                                                              
1663209624.606043 mptcp SYN-SENT 0      1       192.168.20.2%enp6s0f1:52387 192.168.3.1:5101 users:(("iperf3",pid=12869,fd=4)) timer:(on,600ms,0) uid:20001 ino:1020569 sk:1f7f 1663209624.606055 	 subflows:2 write_seq:580000020c snd_una:1                                                                                                                                                                                                                                                                                                                                                                                                                                             
1663209624.606095 mptcp ESTAB    0      1273776          192.168.10.2:34236 192.168.3.1:5101 users:(("iperf3",pid=12869,fd=4)) timer:(on,272ms,0) uid:20001 ino:1020569 sk:1f80 1663209624.606110 	 subflows:1 add_addr_signal:3 add_addr_accepted_max:7 write_seq:21800000594 snd_una:c20000037c rcv_nxt:61000000d2                                                                                                                                                                                                                                                                                                                                                                      
