Date_and_Time,Session_Time,rate,total_rate,sequences,sent,lost,util,old_util,thpt,loss_rate
Sep 16 18:11:44,[760863.226494],129280052,129280052,2127917354-2128301834,270,0,4992501000,19970004,6191104,0
Sep 16 18:11:48,[760867.328989],129592874,129592874,2128444202-2128909098,326,0,5003372000,20013488,113686,0
Sep 16 18:11:48,[760867.706777],470000,470000,637531065-637533034,1,0,31829250,127317,5732,0
Sep 16 18:11:53,[760872.570520],470000,470000,2699064967-2699066936,1,0,31829250,127317,5713,0
Sep 16 18:11:58,[760877.295816],1151873362,1151873362,1679162482-1679164050,1,0,35744074000,142976296,290,0
Sep 16 18:11:58,[760877.295825],1042171142,1042171142,1679164050-1679165698,1,0,32665172000,130660688,198,0
Sep 16 18:11:58,[760877.295833],1151873362,1151873362,1679165698-1679167250,1,0,35744074000,142976296,131,0
Sep 16 18:11:58,[760877.295841],1042171142,1042171142,1679167250-1679169458,1,0,32665172000,130660688,166,0
Sep 16 18:11:58,[760877.352751],470000,470000,3654284035-3654286004,1,0,31829250,127317,5796,0
Sep 16 18:12:02,[760881.565957],1098032556,1098032556,1679169538-1679170994,1,0,34236824000,136947296,342,0
Sep 16 18:12:02,[760882.090684],530000,530000,1473032605-1473034574,1,0,35464000,141856,5727,0
Sep 16 18:12:07,[760886.570878],470000,470000,2148044856-2148046825,1,0,31829250,127317,5837,0
Sep 16 18:12:12,[760891.449845],1099073514,1099073514,1679171058-1679172530,1,0,34266034000,137064136,157,0
Sep 16 18:12:12,[760891.506123],470000,470000,531856760-531858729,1,0,31829250,127317,5647,0
Sep 16 18:12:17,[760896.189047],470000,470000,262106818-262108787,1,0,31829250,127317,5798,0
Sep 16 18:12:21,[760901.098642],530000,530000,2648089401-2648091370,1,0,35464000,141856,5643,0
Sep 16 18:12:26,[760905.819999],470000,470000,1370798021-1370799990,1,0,31829250,127317,5706,0
Sep 16 18:12:31,[760910.397780],530000,530000,1964740842-1964742811,1,0,35464000,141856,5663,0
Sep 16 18:12:36,[760915.289703],470000,470000,2274299728-2274301697,1,0,31829250,127317,5820,0
Sep 16 18:12:40,[760919.886495],470000,470000,2557493900-2557495869,1,0,31829250,127317,5845,0
Sep 16 18:12:45,[760924.756113],470000,470000,4210083545-4210085514,1,0,31829250,127317,5724,0
Sep 16 18:12:50,[760929.471992],470000,470000,1379081773-1379083742,1,0,31829250,127317,5688,0
Sep 16 18:12:55,[760934.134309],530000,530000,1180300973-1180302942,1,0,35464000,141856,5815,0
Sep 16 18:12:59,[760938.864766],530000,530000,4028948773-4028950742,1,0,35464000,141856,5724,0
Sep 16 18:13:04,[760943.495095],470000,470000,3669852210-3669854179,1,0,31829250,127317,5815,0
Sep 16 18:13:09,[760948.471837],470000,470000,2505644892-2505646861,1,0,31829250,127317,5721,0
Sep 16 18:13:10,[760949.291528],1044119839,1044119839,1679172610-1679174098,1,0,32720136000,130880544,52,0
Sep 16 18:13:10,[760949.291537],1154027189,1154027189,1679174098-1679175618,1,0,35804220000,143216880,198,0
Sep 16 18:13:10,[760949.291546],1154027189,1154027189,1679175618-1679247362,49,0,35804220000,143216880,28761,0
Sep 16 18:13:10,[760949.291554],1044119839,1044119839,1679247362-1679250226,1,0,32720136000,130880544,102,0
Sep 16 18:13:10,[760949.327391],530000,530000,2179660118-2179673149,9,0,35464000,141856,1084,0
Sep 16 18:13:10,[760949.383467],530000,530000,2179684541-2179701629,12,0,35464000,141856,500366,0
Sep 16 18:13:10,[760949.439035],1000000,1000000,2179713021-2179744349,22,0,62797000,251188,939060,0
Sep 16 18:13:10,[760949.489822],2000000,2000000,2179764285-2179824093,42,0,117183500,468734,1960339,0
Sep 16 18:13:10,[760949.538264],4000000,4000000,2179862541-2179972189,77,0,218672250,874689,3818492,0
Sep 16 18:13:10,[760949.587351],8000000,8000000,2180047661-2180276925,161,0,408057000,1632228,7712315,0
Sep 16 18:13:10,[760949.636648],16000000,16000000,2180426445-2180896365,330,0,761461250,3045845,15874603,0
Sep 16 18:13:10,[760949.685473],32000000,32000000,2181195405-2182129549,656,0,1420936750,5683747,31780091,0
Sep 16 18:13:10,[760949.743601],64000000,64000000,2182736173-2184916317,1531,0,2651562000,10606248,63804735,0
Sep 16 18:13:10,[760949.805842],128000000,128000000,2185991693-2186521165,371,0,4947989500,19791958,16646311,0
Sep 16 18:13:10,[760949.882183],128000000,128000000,2187802765-2191583485,2655,0,4947989500,19791958,81438910,0
Sep 16 18:13:10,[760949.945530],128000000,128000000,2192288365-2193840749,1090,0,4947989500,19791958,40695314,0
Sep 16 18:13:11,[760950.131839],67840000,67840000,2194403005-2195748685,945,0,2794326000,11177304,25336647,0
Sep 16 18:13:11,[760950.131848],60160000,60160000,2195748685-2195934029,130,0,2507938250,10031753,4853569,0
